,pincode,RURAL,URBAN
1171,566162.0,0,3
1172,500097.0,0,1
1173,580009.0,0,1
1174,560801.0,0,1
1175,600073.0,0,2
1176,641042.0,0,1
1177,635651.0,0,1
1178,460084.0,0,1
1179,636813.0,0,2
1180,502032.0,0,1
1181,561162.0,0,1
1182,581329.0,0,1
1183,586203.0,0,1
1184,575006.0,0,2
1185,636109.0,0,1
1186,566048.0,0,2
1187,581104.0,0,1
1188,460102.0,0,1
1189,570103.0,0,1
1190,570047.0,0,4
1191,641047.0,0,1
1192,515501.0,0,1
1193,629802.0,0,1
1194,396321.0,0,1
1195,574221.0,0,1
1196,560679.0,0,1
1197,560641.0,0,1
1198,566074.0,0,1
1199,670671.0,0,1
1200,581115.0,0,2
1201,586232.0,0,1
1202,530036.0,0,1
1203,580008.0,0,1
1204,570009.0,0,3
1205,550032.0,0,2
1206,580031.0,0,1
1207,570025.0,0,3
1208,517425.0,0,1
1209,566050.0,0,1
1210,781006.0,0,1
1211,583231.0,0,2
1212,556002.0,0,1
1213,540044.0,0,1
1214,400053.0,0,1
1215,566008.0,0,1
1216,641014.0,0,1
1217,400074.0,0,1
1218,580043.0,0,1
1219,572217.0,0,1
1220,500092.0,0,3
1221,491001.0,0,1
1222,390002.0,0,1
1223,656009.0,0,1
1224,635124.0,0,1
1225,577228.0,0,1
1226,580001.0,0,1
1227,396171.0,0,1
1228,650075.0,0,1
1229,590019.0,0,1
1230,459911.0,0,1
1231,571425.0,0,1
1232,412105.0,0,1
1233,577552.0,0,1
